Source Labware,Source Slot,Source Well,Source Aspiration Height Above Bottom (in mm),Dest Labware,Dest Slot,Dest Well,Volume (in ul)
falcon_96_wellplate_320ul,2,A01,1,axygen_96_wellplate_1100ul,1,A01,200
falcon_96_wellplate_320ul,2,A02,1,axygen_96_wellplate_1100ul,1,A02,200
falcon_96_wellplate_320ul,2,A03,1,axygen_96_wellplate_1100ul,1,A03,200
falcon_96_wellplate_320ul,2,A04,1,axygen_96_wellplate_1100ul,1,A04,200
falcon_96_wellplate_320ul,3,A04,1,axygen_96_wellplate_1100ul,1,A05,200
falcon_96_wellplate_320ul,3,A05,1,axygen_96_wellplate_1100ul,1,A06,200
falcon_96_wellplate_320ul,3,A06,1,axygen_96_wellplate_1100ul,1,A07,200
falcon_96_wellplate_320ul,3,A07,1,axygen_96_wellplate_1100ul,1,A08,200
falcon_96_wellplate_320ul,4,A01,1,axygen_96_wellplate_1100ul,1,A09,200
falcon_96_wellplate_320ul,4,A02,1,axygen_96_wellplate_1100ul,1,A10,200
falcon_96_wellplate_320ul,4,A03,1,axygen_96_wellplate_1100ul,1,A11,200
falcon_96_wellplate_320ul,4,A04,1,axygen_96_wellplate_1100ul,1,A12,200
falcon_96_wellplate_320ul,2,B04,1,axygen_96_wellplate_1100ul,1,B01,200
falcon_96_wellplate_320ul,2,D04,1,axygen_96_wellplate_1100ul,1,B02,200
falcon_96_wellplate_320ul,2,E04,1,axygen_96_wellplate_1100ul,1,B03,200
falcon_96_wellplate_320ul,2,G04,1,axygen_96_wellplate_1100ul,1,B04,200
falcon_96_wellplate_320ul,3,B07,1,axygen_96_wellplate_1100ul,1,B05,200
falcon_96_wellplate_320ul,3,C07,1,axygen_96_wellplate_1100ul,1,B06,200
falcon_96_wellplate_320ul,3,D07,1,axygen_96_wellplate_1100ul,1,B07,200
falcon_96_wellplate_320ul,3,E07,1,axygen_96_wellplate_1100ul,1,B08,200
falcon_96_wellplate_320ul,4,B02,1,axygen_96_wellplate_1100ul,1,B09,200
falcon_96_wellplate_320ul,4,C02,1,axygen_96_wellplate_1100ul,1,B10,200
falcon_96_wellplate_320ul,4,D02,1,axygen_96_wellplate_1100ul,1,B11,200
falcon_96_wellplate_320ul,4,E02,1,axygen_96_wellplate_1100ul,1,B12,200
falcon_96_wellplate_320ul,5,E05,1,axygen_96_wellplate_1100ul,1,C01,200
falcon_96_wellplate_320ul,5,G05,1,axygen_96_wellplate_1100ul,1,C02,200
falcon_96_wellplate_320ul,5,H05,1,axygen_96_wellplate_1100ul,1,C03,200
falcon_96_wellplate_320ul,5,B05,1,axygen_96_wellplate_1100ul,1,C04,200
falcon_96_wellplate_320ul,6,C03,1,axygen_96_wellplate_1100ul,1,C05,200
falcon_96_wellplate_320ul,6,H03,1,axygen_96_wellplate_1100ul,1,C06,200
falcon_96_wellplate_320ul,6,B03,1,axygen_96_wellplate_1100ul,1,C07,200
falcon_96_wellplate_320ul,6,D03,1,axygen_96_wellplate_1100ul,1,C08,200
falcon_96_wellplate_320ul,7,B05,1,axygen_96_wellplate_1100ul,1,C09,200
falcon_96_wellplate_320ul,7,C05,1,axygen_96_wellplate_1100ul,1,C10,200
falcon_96_wellplate_320ul,7,D05,1,axygen_96_wellplate_1100ul,1,C11,200
falcon_96_wellplate_320ul,7,E05,1,axygen_96_wellplate_1100ul,1,C12,200
falcon_96_wellplate_320ul,8,B05,1,axygen_96_wellplate_1100ul,1,D01,200
falcon_96_wellplate_320ul,8,C05,1,axygen_96_wellplate_1100ul,1,D02,200
falcon_96_wellplate_320ul,8,D05,1,axygen_96_wellplate_1100ul,1,D03,200
falcon_96_wellplate_320ul,8,E05,1,axygen_96_wellplate_1100ul,1,D04,200
falcon_96_wellplate_320ul,10,B04,1,axygen_96_wellplate_1100ul,1,D05,200
falcon_96_wellplate_320ul,10,C04,1,axygen_96_wellplate_1100ul,1,D06,200
falcon_96_wellplate_320ul,10,D04,1,axygen_96_wellplate_1100ul,1,D07,200
falcon_96_wellplate_320ul,10,E04,1,axygen_96_wellplate_1100ul,1,D08,200
